"gene","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Nrp2",18187,"neuropilin 2, transcript variant 1","ENSMUSG00000025969","1110048P06Rik","1","protein_coding","abnormal anterior commissure morphology","NRP2"
"Gm4208",100043070,"predicted gene 4208, transcript variant X2","ENSMUSG00000100426",NA,"1","lncRNA",NA,NA
"Ndufs1",227197,"NADH dehydrogenase (ubiquinone) Fe-S protein 1, transcript variant 4","ENSMUSG00000025968","5830412M15Rik","1","protein_coding","decreased circulating triglyceride level","NDUFS1"
"Eef1b2",55949,"eukaryotic translation elongation factor 1 beta 2","ENSMUSG00000025967","2810017J07Rik","1","protein_coding","abnormal bone structure","EEF1B2"
"Gpr1",241070,"G protein-coupled receptor 1, transcript variant X1","ENSMUSG00000046856",NA,"1","protein_coding","decreased brown fat cell size","CMKLR2"
"Gm11605",667644,NA,"ENSMUSG00000081643",NA,"1","processed_pseudogene",NA,NA
"Adam23",23792,"a disintegrin and metallopeptidase domain 23, transcript variant X1","ENSMUSG00000025964","MDC3","1","protein_coding","abnormal tooth morphology","ADAM23"
"Dytn",241073,"dystrotelin","ENSMUSG00000069085","LOC241073","1","protein_coding",NA,"DYTN"
"Mdh1b",76668,"malate dehydrogenase 1B, NAD (soluble), transcript variant X1","ENSMUSG00000025963","1700124B08Rik","1","protein_coding",NA,"MDH1B"
"Gm13748",102639767,"predicted gene 13748","ENSMUSG00000086836",NA,"1","lncRNA",NA,NA
"Ccnyl1",227210,"cyclin Y-like 1, transcript variant X1","ENSMUSG00000070871","9630037P07Rik","1","protein_coding","abnormal sperm annulus morphology","CCNYL1"
"Plekhm3",241075,"pleckstrin homology domain containing, family M, member 3, transcript variant X2","ENSMUSG00000051344","9430067K14Rik","1","protein_coding",NA,"PLEKHM3"
"Rpl10a-ps1",100043141,NA,"ENSMUSG00000084416","ENSMUSG00000061631","1","processed_pseudogene",NA,NA
"Cryga",12964,"crystallin, gamma A","ENSMUSG00000044429","Cryg-4","1","protein_coding","abnormal lens fiber morphology","CRYGA"
"Pikfyve",18711,"phosphoinositide kinase, FYVE finger containing, transcript variant X7","ENSMUSG00000025949","5230400C17Rik","1","protein_coding","abnormal atrium myocardium morphology","PIKFYVE"
"Map2",17756,"microtubule-associated protein 2, transcript variant X1","ENSMUSG00000015222","G1-397-34","1","protein_coding","abnormal Purkinje cell morphology","MAP2"
"Unc80",329178,"unc-80 homolog (C. elegans), transcript variant X9","ENSMUSG00000055567","C030018G13Rik","1","protein_coding","decreased body length","UNC80"
"Kansl1l",68691,"KAT8 regulatory NSL complex subunit 1-like, transcript variant 1","ENSMUSG00000026004","1110028C15Rik","1","protein_coding",NA,"KANSL1L"
"Acadl",11363,"acyl-Coenzyme A dehydrogenase, long-chain","ENSMUSG00000026003","C79855","1","protein_coding","abnormal adaptive thermogenesis","ACADL"
"Gm15793",102640707,NA,"ENSMUSG00000082769",NA,"1","processed_pseudogene",NA,NA
"Spag16",66722,"sperm associated antigen 16, transcript variant X2","ENSMUSG00000053153","4921511D23Rik","1","protein_coding","abnormal Sertoli cell morphology","SPAG16"
"Bard1",12021,"BRCA1 associated RING domain 1, transcript variant X1","ENSMUSG00000026196","ENSMUSG00000060893","1","protein_coding","abnormal DNA replication","BARD1"
"Abca12",74591,"ATP-binding cassette, sub-family A (ABC1), member 12","ENSMUSG00000050296","4832428G11Rik","1","protein_coding","abnormal facial morphology","ABCA12"
"Atic",108147,"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","ENSMUSG00000026192","2610509C24Rik","1","protein_coding",NA,"ATIC"
"Fn1",14268,"fibronectin 1, transcript variant 7","ENSMUSG00000026193","Fn","1","protein_coding","abnormal amnion morphology","FN1"
"Gm5256",383528,NA,"ENSMUSG00000100319",NA,"1","processed_pseudogene",NA,NA
"Tmem169",271711,"transmembrane protein 169, transcript variant X2","ENSMUSG00000026188","A830020B06Rik","1","protein_coding","dilated heart left ventricle","TMEM169"
"Xrcc5",22596,"X-ray repair complementing defective repair in Chinese hamster cells 5, transcript variant X1","ENSMUSG00000026187","Ku80","1","protein_coding","abnormal B cell differentiation","XRCC5"
"Smarcal1",54380,"SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1, transcript variant X1","ENSMUSG00000039354","6030401P21Rik","1","protein_coding","increased hematocrit","SMARCAL1"
"Igfbp2",16008,"insulin-like growth factor binding protein 2","ENSMUSG00000039323","IGFBP-2","1","protein_coding","decreased heart weight","IGFBP2"
"Gm29183",102633781,"predicted gene 29183, transcript variant X2","ENSMUSG00000101344",NA,"1","lncRNA",NA,NA
"Rufy4",435626,"RUN and FYVE domain containing 4, transcript variant X1","ENSMUSG00000061815","F930048N03Rik","1","protein_coding","abnormal spleen morphology","RUFY4"
"Cxcr2",12765,"chemokine (C-X-C motif) receptor 2","ENSMUSG00000026180","CD128","1","protein_coding","decreased B cell number","CXCR2"
"Arpc2",76709,"actin related protein 2/3 complex, subunit 2, transcript variant X1","ENSMUSG00000006304","2210023N03Rik","1","protein_coding","abnormal coat/hair pigmentation","ARPC2"
"Aamp",227290,"angio-associated migratory protein, transcript variant 2","ENSMUSG00000006299","Aamp-rs","1","protein_coding","embryonic lethality prior to organogenesis","AAMP"
"Tmbim1",69660,"transmembrane BAX inhibitor motif containing 1","ENSMUSG00000006301","2310061B02Rik","1","protein_coding","abnormal aorta tunica media morphology","TMBIM1"
"Catip",241112,"ciliogenesis associated TTC17 interacting protein","ENSMUSG00000073650","Gm216","1","protein_coding","increased mean corpuscular hemoglobin","CATIP"
"Zfp142",77264,"zinc finger protein 142","ENSMUSG00000026135","9330177B18Rik","1","protein_coding","abnormal skin coloration","ZNF142"
"Rnf25",57751,"ring finger protein 25, transcript variant X1","ENSMUSG00000026171","0610009H16Rik","1","protein_coding","decreased blood urea nitrogen level","RNF25"
"Ttll4",67534,"tubulin tyrosine ligase-like family, member 4, transcript variant X2","ENSMUSG00000033257","4632407P03Rik","1","protein_coding","abnormal retina morphology","TTLL4"
"Prkag3",241113,"protein kinase, AMP-activated, gamma 3 non-catatlytic subunit, transcript variant X2","ENSMUSG00000006542","AMPKg3","1","protein_coding","abnormal glucose homeostasis","PRKAG3"
"Gm29539",102634275,"predicted gene 29539, transcript variant X3","ENSMUSG00000099472",NA,"1","lncRNA",NA,NA
"Wnt10a",22409,"wingless-type MMTV integration site family, member 10A","ENSMUSG00000026167",NA,"1","protein_coding","short tibia","WNT10A"
"Ihh",16147,"Indian hedgehog","ENSMUSG00000006538",NA,"1","protein_coding","abnormal appendicular skeleton morphology","IHH"
"Slc23a3",22626,"solute carrier family 23 (nucleobase transporters), member 3, transcript variant X3","ENSMUSG00000026205","SVCT3","1","protein_coding","abnormal lung morphology","SLC23A3"
"Zfand2b",68818,"zinc finger, AN1 type domain 2B, transcript variant 2","ENSMUSG00000026197","1110060O18Rik","1","protein_coding",NA,"ZFAND2B"
"Ankzf1",52231,"ankyrin repeat and zinc finger domain containing 1, transcript variant 3","ENSMUSG00000026199","1300008P06Rik","1","protein_coding",NA,"ANKZF1"
"Glb1l",74577,"galactosidase, beta 1-like","ENSMUSG00000026200","4833408P15Rik","1","protein_coding",NA,"GLB1L"
"Ptprn",19275,"protein tyrosine phosphatase, receptor type, N, transcript variant X2","ENSMUSG00000026204","IA-2","1","protein_coding","impaired glucose tolerance","PTPRN"
"Des",13346,"desmin","ENSMUSG00000026208",NA,"1","protein_coding","abnormal P wave","DES"
"Asic4",241118,"acid-sensing (proton-gated) ion channel family member 4","ENSMUSG00000033007","Accn4","1","protein_coding","decreased body length","ASIC4"
"Chpf",74241,"chondroitin polymerizing factor, transcript variant 1","ENSMUSG00000032997","1700028N03Rik","1","protein_coding","abnormal femur morphology","CHPF"
"Obsl1",98733,"obscurin-like 1","ENSMUSG00000026211",NA,"1","protein_coding","embryonic lethality prior to organogenesis","OBSL1"
"Stk11ip",71728,"serine/threonine kinase 11 interacting protein","ENSMUSG00000026213","1200014D22Rik","1","protein_coding","prenatal lethality prior to heart atrial septation","STK11IP"
"Slc4a3",20536,"solute carrier family 4 (anion exchanger), member 3, transcript variant X5","ENSMUSG00000006576","A930038D23Rik","1","protein_coding","abnormal astrocyte morphology","SLC4A3"
"Epha4",13838,"Eph receptor A4, transcript variant X1","ENSMUSG00000026235","2900005C20Rik","1","protein_coding","abnormal anterior commissure morphology","EPHA4"
"Pax3",18505,"paired box 3, transcript variant 2","ENSMUSG00000004872","Pax-3","1","protein_coding","abnormal bony labyrinth","PAX3"
"Mogat1",68393,"monoacylglycerol O-acyltransferase 1","ENSMUSG00000012187","0610030A14Rik","1","protein_coding","decreased body weight","MOGAT1"
"Kcne4",57814,"potassium voltage-gated channel, Isk-related subfamily, gene 4","ENSMUSG00000047330","MiRP3","1","protein_coding",NA,"KCNE4"
"Gm5830",545332,NA,"ENSMUSG00000072978",NA,"1","processed_pseudogene",NA,NA
"Scg2",20254,"secretogranin II","ENSMUSG00000050711","Chgc","1","protein_coding","decreased startle reflex","SCG2"
"Mrpl44",69163,"mitochondrial ribosomal protein L44","ENSMUSG00000026248","1810030E18Rik","1","protein_coding","embryonic lethality prior to organogenesis","MRPL44"
"Gm5529",433326,NA,"ENSMUSG00000067106",NA,"1","processed_pseudogene",NA,NA
"Fam124b",241128,"family with sequence similarity 124, member B, transcript variant X1","ENSMUSG00000043230","A830043J08Rik","1","protein_coding","abnormal behavior","FAM124B"
"Cul3",26554,"cullin 3, transcript variant X1","ENSMUSG00000004364",NA,"1","protein_coding","abnormal blood vessel physiology","CUL3"
"Nyap2",241134,"neuronal tyrosine-phophorylated phosphoinositide 3-kinase adaptor 2, transcript variant X2","ENSMUSG00000054976","9430031J16Rik","1","protein_coding",NA,"NYAP2"
"Rhbdd1",76867,"rhomboid domain containing 1, transcript variant X2","ENSMUSG00000026142","4930418P06Rik","1","protein_coding","decreased B cell number","RHBDD1"
"Col4a4",12829,"collagen, type IV, alpha 4, transcript variant X1","ENSMUSG00000067158","E130010M05Rik","1","protein_coding","cataract","COL4A4"
"Col4a3",12828,"collagen, type IV, alpha 3","ENSMUSG00000079465","alpha3(IV)","1","protein_coding","decreased basophil cell number","COL4A3"
"Mff",75734,"mitochondrial fission factor, transcript variant X5","ENSMUSG00000026150","5230400G24Rik","1","protein_coding","abnormal induced morbidity/mortality","MFF"
"Daw1",71227,"dynein assembly factor with WDR repeat domains 1, transcript variant X1","ENSMUSG00000053161","4930563E19Rik","1","protein_coding","abdominal situs ambiguus","DAW1"
"Trip12",14897,"thyroid hormone receptor interactor 12","ENSMUSG00000026219","1110036I07Rik","1","protein_coding","abnormal placenta development","TRIP12"
"Fbxo36",66153,"F-box protein 36","ENSMUSG00000073633","0610008D19Rik","1","protein_coding","decreased hematocrit","FBXO36"
"Slc16a14",71781,"solute carrier family 16 (monocarboxylic acid transporters), member 14, transcript variant X1","ENSMUSG00000026220","1110004H10Rik","1","protein_coding",NA,"SLC16A14"
"Gm15433",100503433,"predicted pseudogene 15433","ENSMUSG00000118590","ENSMUSG00000073632","1","protein_coding",NA,NA
"Rpl19-ps1",100039695,NA,"ENSMUSG00000064281","ENSMUSG00000064281","1","processed_pseudogene",NA,NA
"Sp110",109032,"Sp110 nuclear body protein, transcript variant X6","ENSMUSG00000070034","5031415C07Rik","1","protein_coding",NA,"SP110"
"Sp140",434484,"Sp140 nuclear body protein, transcript variant X5","ENSMUSG00000070031",NA,"1","protein_coding",NA,NA
"Sp100",20684,"nuclear antigen Sp100, transcript variant X4","ENSMUSG00000026222","A430075G10Rik","1","protein_coding",NA,"SP140"
"Cab39",12283,"calcium binding protein 39, transcript variant X1","ENSMUSG00000036707","39kDa","1","protein_coding",NA,"CAB39"
"Gpr55",227326,"G protein-coupled receptor 55, transcript variant X2","ENSMUSG00000049608","CTFL","1","protein_coding","abnormal osteoclast differentiation","GPR55"
"Spata3",70060,"spermatogenesis associated 3, transcript variant X3","ENSMUSG00000026226","1700011N12Rik","1","protein_coding","abnormal behavior","SPATA3"
"Htr2b",15559,"5-hydroxytryptamine (serotonin) receptor 2B, transcript variant X2","ENSMUSG00000026228","5-HT2B","1","protein_coding","decreased lean body mass","HTR2B"
"Armc9",78795,"armadillo repeat containing 9, transcript variant X5","ENSMUSG00000062590","3830422A13Rik","1","protein_coding",NA,"ARMC9"
"B3gnt7",227327,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7","ENSMUSG00000079445","beta-3GnT7","1","protein_coding","enlarged heart","B3GNT7"
"Snora75",100303740,"small nucleolar RNA, H/ACA box 75","ENSMUSG00000064837","MBI-55","1","snoRNA",NA,"SNORA75"
"Nmur1",14767,"neuromedin U receptor 1","ENSMUSG00000026237","FM-3","1","protein_coding","decreased circulating insulin level","NMUR1"
"Dis3l2",208718,"DIS3 mitotic control homolog (S. cerevisiae)-like 2, transcript variant X1","ENSMUSG00000053333","4930429A22Rik","1","protein_coding","abnormal renal/urinary system morphology","DIS3L2"
"Gm6136",620213,NA,"ENSMUSG00000084106",NA,"1","processed_pseudogene",NA,NA
"Ecel1",13599,"endothelin converting enzyme-like 1, transcript variant X2","ENSMUSG00000026247","DINE","1","protein_coding","abnormal innervation pattern to muscle","ECEL1"
"Prss56",69453,"protease, serine 56, transcript variant X3","ENSMUSG00000036480","1700027L20Rik","1","protein_coding","abnormal behavior","PRSS56"
"Kcnj13",100040591,"potassium inwardly-rectifying channel, subfamily J, member 13","ENSMUSG00000079436",NA,"1","protein_coding","abnormal embryo size","KCNJ13"
"Inpp5d",16331,"inositol polyphosphate-5-phosphatase D, transcript variant 1","ENSMUSG00000026288","s-SHIP","1","protein_coding","abnormal B cell differentiation","INPP5D"
"Scarna6",100217415,"small Cajal body-specific RNA 6","ENSMUSG00000089281","MBI-46","1","scaRNA",NA,NA
"Sag",20215,"S-antigen, retina and pineal gland (arrestin)","ENSMUSG00000056055","A930001K18Rik","1","protein_coding","decreased circulating HDL cholesterol level","SAG"
"Dgkd",227333,"diacylglycerol kinase, delta, transcript variant X2","ENSMUSG00000070738","dgkd-2","1","protein_coding","decreased bone mineral density","DGKD"
"Gm19582",100503175,"predicted gene, 19582","ENSMUSG00000101942",NA,"1","lncRNA",NA,NA
"Usp40",227334,"ubiquitin specific peptidase 40, transcript variant 2","ENSMUSG00000005501","B230215L03Rik","1","protein_coding","decreased grip strength","USP40"
"Ugt1a7c",394432,"UDP glucuronosyltransferase 1 family, polypeptide A7C","ENSMUSG00000090124","A10'","1","protein_coding",NA,"UGT1A6"
"Dnajb3",15504,"DnaJ (Hsp40) homolog, subfamily B, member 3","ENSMUSG00000081984","Hsj3","1","protein_coding","decreased leukocyte cell number",NA
"Mroh2a",100040766,"maestro heat-like repeat family member 2A, transcript variant X9","ENSMUSG00000079429","ENSMUSG00000044873","1","protein_coding",NA,"MROH2A"
"Spp2",75396,"secreted phosphoprotein 2, transcript variant X1","ENSMUSG00000026295","0610038O04Rik","1","protein_coding",NA,"SPP2"
"Gm29538",102636980,"predicted gene 29538, transcript variant X2","ENSMUSG00000099553",NA,"1","lncRNA",NA,NA
"Glrp1",14659,"glutamine repeat protein 1","ENSMUSG00000062310","GRP-1","1","protein_coding",NA,NA
"Sh3bp4",98402,"SH3-domain binding protein 4","ENSMUSG00000036206","BOG25","1","protein_coding","decreased circulating insulin level","SH3BP4"
"Gbx2",14472,"gastrulation brain homeobox 2","ENSMUSG00000034486","Gbx-2","1","protein_coding","abnormal aortic arch morphology","GBX2"
"Iqca",74918,"IQ motif containing with AAA domain","ENSMUSG00000026301","4930465P12Rik","1","protein_coding","reproductive system phenotype","IQCA1"
"Ackr3",12778,"atypical chemokine receptor 3, transcript variant 1","ENSMUSG00000044337","Cmkor1","1","protein_coding","decreased grip strength","ACKR3"
"Col6a3",12835,"collagen, type VI, alpha 3, transcript variant 2","ENSMUSG00000048126","Col6a-3","1","protein_coding","decreased body length","COL6A3"
"Rab17",19329,"RAB17, member RAS oncogene family, transcript variant X1","ENSMUSG00000026304",NA,"1","protein_coding",NA,"RAB17"
"Ube2f",67921,"ubiquitin-conjugating enzyme E2F (putative), transcript variant X2","ENSMUSG00000034343","2510010F15Rik","1","protein_coding","abnormal eye morphology","UBE2F"
"Klhl30",70788,"kelch-like 30","ENSMUSG00000026308","4631423F02Rik","1","protein_coding","decreased leukocyte cell number","KLHL30"
"Twist2",13345,"twist basic helix-loop-helix transcription factor 2","ENSMUSG00000007805","bHLHa39","1","protein_coding","abnormal heart morphology","TWIST2"
"Hdac4",208727,"histone deacetylase 4, transcript variant X5","ENSMUSG00000026313","4932408F19Rik","1","protein_coding","abnormal behavior","HDAC4"
"Ndufa10",67273,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10","ENSMUSG00000026260","2900053E13Rik","1","protein_coding","abnormal bone structure","NDUFA10"
"Mir149",387167,"microRNA 149","ENSMUSG00000065470","Mirn149","1","miRNA","increased circulating aspartate transaminase level",NA
"Ankmy1",241158,"ankyrin repeat and MYND domain containing 1, transcript variant X2","ENSMUSG00000034212","4930483I10Rik","1","protein_coding",NA,"ANKMY1"
"Rnpepl1",108657,"arginyl aminopeptidase (aminopeptidase B)-like 1","ENSMUSG00000026269","1110014H17Rik","1","protein_coding","abnormal lymph node morphology","RNPEPL1"
"Capn10",23830,"calpain 10","ENSMUSG00000026270","Capn8","1","protein_coding","abnormal freezing behavior","CAPN10"
"Gpr35",64095,"G protein-coupled receptor 35, transcript variant X5","ENSMUSG00000026271",NA,"1","protein_coding","decreased colon length","GPR35"
"Pask",269224,"PAS domain containing serine/threonine kinase","ENSMUSG00000026274","Paskin","1","protein_coding","abnormal glucose homeostasis","PASK"
"Hdlbp",110611,"high density lipoprotein (HDL) binding protein, transcript variant 1","ENSMUSG00000034088","1110005P14Rik","1","protein_coding","increased startle reflex","HDLBP"
"Farp2",227377,"FERM, RhoGEF and pleckstrin domain protein 2","ENSMUSG00000034066","D030026M03Rik","1","protein_coding","decreased circulating free fatty acids level","FARP2"
"Stk25",59041,"serine/threonine kinase 25 (yeast)","ENSMUSG00000026277","1500019J11Rik","1","protein_coding",NA,"STK25"
"Thap4",67026,"THAP domain containing 4, transcript variant X1","ENSMUSG00000026279","2010320B01Rik","1","protein_coding",NA,"THAP4"
"D2hgdh",98314,"D-2-hydroxyglutarate dehydrogenase, transcript variant X3","ENSMUSG00000073609",NA,"1","protein_coding",NA,"D2HGDH"
"Pdcd1",18566,"programmed cell death 1","ENSMUSG00000026285","PD-1","1","protein_coding","abnormal T cell activation","PDCD1"
"Gm7895",666025,NA,"ENSMUSG00000100347",NA,"1","processed_pseudogene",NA,NA
"Fam174a",67698,"family with sequence similarity 174, member A","ENSMUSG00000051185","2310044D20Rik","1","protein_coding",NA,"FAM174A"
"Slco4c1",227394,"solute carrier organic anion transporter family, member 4C1","ENSMUSG00000040693","C330017E21Rik","1","protein_coding",NA,"SLCO4C1"
"Panct2",329217,"pluripotency-associated noncoding transcript 2, transcript variant X1","ENSMUSG00000097814","Gm5101","1","lncRNA",NA,NA
"Gm6430",623430,NA,"ENSMUSG00000044757",NA,"1","processed_pseudogene",NA,NA
"Gin1",252876,"gypsy retrotransposon integrase 1, transcript variant X2","ENSMUSG00000026333","4930429M06","1","protein_coding","abnormal heart morphology","GIN1"
"Pam",18484,"peptidylglycine alpha-amidating monooxygenase, transcript variant X2","ENSMUSG00000026335","PHM","1","protein_coding","decreased circulating fructosamine level","PAM"
"Cntnap5b",241175,"contactin associated protein-like 5B, transcript variant X1","ENSMUSG00000067028","C230078M14Rik","1","protein_coding",NA,NA
"Cdh20",23836,"cadherin 20","ENSMUSG00000050840","Cdh7","1","protein_coding",NA,"CDH20"
"Pign",27392,"phosphatidylinositol glycan anchor biosynthesis, class N, transcript variant X5","ENSMUSG00000056536",NA,"1","protein_coding","abnormal kidney morphology","PIGN"
"Gm10193",100042023,NA,"ENSMUSG00000101330",NA,"1","processed_pseudogene",NA,NA
"Tnfrsf11a",21934,"tumor necrosis factor receptor superfamily, member 11a, NFKB activator","ENSMUSG00000026321","Rank","1","protein_coding","abnormal bone mineralization","TNFRSF11A"
"Gm7160",635504,"predicted gene 7160, transcript variant X2","ENSMUSG00000099843",NA,"1","lncRNA",NA,NA
"Gm20753",626049,"predicted gene, 20753","ENSMUSG00000101583",NA,"1","lncRNA",NA,NA
"Bcl2",12043,"B cell leukemia/lymphoma 2, transcript variant 1","ENSMUSG00000057329","Bcl-2","1","protein_coding","abnormal B cell activation","BCL2"
"Vps4b",20479,"vacuolar protein sorting 4b (yeast)","ENSMUSG00000009907","8030489C12Rik","1","protein_coding",NA,"VPS4B"
"Serpinb5",20724,"serine (or cysteine) peptidase inhibitor, clade B, member 5, transcript variant X2","ENSMUSG00000067006","1110036M19Rik","1","protein_coding","abnormal sinus arrhythmia","SERPINB5"
"Serpinb10",241197,"serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 10, transcript variant X1","ENSMUSG00000092572",NA,"1","polymorphic_pseudogene","abnormal kidney morphology","SERPINB10"
"Gm8141",666508,NA,"ENSMUSG00000100025",NA,"1","processed_pseudogene",NA,NA
"Cdh7",241201,"cadherin 7, type 2, transcript variant X10","ENSMUSG00000026312","9330156F07Rik","1","protein_coding","hypoactivity","CDH7"
"Cdh19",227485,"cadherin 19, type 2, transcript variant X3","ENSMUSG00000047216",NA,"1","protein_coding","decreased lean body mass","CDH19"
"Gm8173",666578,NA,"ENSMUSG00000100555",NA,"1","processed_pseudogene",NA,NA
"Dsel",319901,"dermatan sulfate epimerase-like, transcript variant X1","ENSMUSG00000038702","9330132E09Rik","1","protein_coding","abnormal enzyme/coenzyme activity","DSEL"
"Gm6028",547247,NA,"ENSMUSG00000101875",NA,"1","processed_pseudogene",NA,NA
"Nifk",67949,"nucleolar protein interacting with the FHA domain of MKI67","ENSMUSG00000026377","C130020J04Rik","1","protein_coding","abnormal heart morphology","NIFK"
"Clasp1",76707,"CLIP associating protein 1, transcript variant 4","ENSMUSG00000064302","1700030C23Rik","1","protein_coding","abnormal liver morphology","CLASP1"
"Inhbb",16324,"inhibin beta-B","ENSMUSG00000037035","activin beta-B","1","protein_coding","abnormal eye morphology","INHBB"
"Gm3551",100041863,NA,"ENSMUSG00000100636",NA,"1","processed_pseudogene",NA,NA
"Gm28209",102636940,"predicted gene 28209, transcript variant X2","ENSMUSG00000101224",NA,"1","lncRNA",NA,NA
"Cfap221",226356,"cilia and flagella associated protein 221, transcript variant X1","ENSMUSG00000036962","Gm101","1","protein_coding",NA,"CFAP221"
"Sctr",319229,"secretin receptor, transcript variant X2","ENSMUSG00000026387","6530402O03Rik","1","protein_coding","abnormal CNS synaptic transmission","SCTR"
"Tmem37",170706,"transmembrane protein 37","ENSMUSG00000050777","Pr1","1","protein_coding",NA,"TMEM37"
"En1",13798,"engrailed 1, transcript variant X1","ENSMUSG00000058665","En-1","1","protein_coding","abnormal CNS synaptic transmission","EN1"
"Insig2",72999,"insulin induced gene 2, transcript variant X3","ENSMUSG00000003721","2900053I11Rik","1","protein_coding","decreased mean platelet volume","INSIG2"
"Ccdc93",70829,"coiled-coil domain containing 93, transcript variant 1","ENSMUSG00000026339","4633402D15Rik","1","protein_coding",NA,"CCDC93"
"Htr5b",15564,"5-hydroxytryptamine (serotonin) receptor 5B","ENSMUSG00000050534",NA,"1","protein_coding","no abnormal phenotype detected",NA
"Ddx18",66942,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 18, transcript variant X1","ENSMUSG00000001674","2310005B10Rik","1","protein_coding",NA,"DDX18"
"Actr3",74117,"ARP3 actin-related protein 3, transcript variant 3","ENSMUSG00000026341","1200003A09Rik","1","protein_coding","abnormal blastocyst morphology","ACTR3"
"Slc35f5",74150,"solute carrier family 35, member F5, transcript variant X2","ENSMUSG00000026342","1300003P13Rik","1","protein_coding",NA,"SLC35F5"
"Gpr39",71111,"G protein-coupled receptor 39","ENSMUSG00000026343","4933415E13Rik","1","protein_coding","abnormal kidney morphology","GPR39"
"Mgat5",107895,"mannoside acetylglucosaminyltransferase 5, transcript variant X2","ENSMUSG00000036155","4930471A21Rik","1","protein_coding","abnormal T cell physiology","MGAT5"
"Gm8451",667090,"predicted gene 8451","ENSMUSG00000099471",NA,"1","processed_pseudogene",NA,NA
"Tmem163",72160,"transmembrane protein 163","ENSMUSG00000026347","2610024A01Rik","1","protein_coding","abnormal kidney morphology","TMEM163"
"Acmsd",266645,"amino carboxymuconate semialdehyde decarboxylase","ENSMUSG00000026348",NA,"1","protein_coding","decreased circulating bilirubin level","ACMSD"
"Zranb3",226409,"zinc finger, RAN-binding domain containing 3, transcript variant 2","ENSMUSG00000036086","4933425L19Rik","1","protein_coding","decreased circulating insulin level","ZRANB3"
"Gm28800",102640008,"predicted gene 28800","ENSMUSG00000099760",NA,"1","lncRNA",NA,NA
"Rpl28-ps1",100042670,NA,"ENSMUSG00000058603","ENSMUSG00000058603","1","processed_pseudogene",NA,NA
"Mir128-1",387147,"microRNA 128-1","ENSMUSG00000065520","Mirn128","1","miRNA","no abnormal phenotype detected","MIR128-1"
"Lct",226413,"lactase","ENSMUSG00000026354","LOC226413","1","protein_coding",NA,"LCT"
"Gm6170",620659,NA,"ENSMUSG00000100078",NA,"1","processed_pseudogene",NA,NA
"Thsd7b",210417,"thrombospondin, type I, domain containing 7B","ENSMUSG00000042581","1700074E13Rik","1","protein_coding",NA,"THSD7B"
"Gm29428",102640122,NA,"ENSMUSG00000100623",NA,"1","processed_pseudogene",NA,NA
"Cd55",13136,"CD55 antigen, transcript variant X2","ENSMUSG00000026399","complement-glycosylphosphatidylinositol","1","protein_coding","abnormal complement pathway","CD55"
"Gm16083",102640300,"predicted gene 16083, transcript variant X3","ENSMUSG00000085526",NA,"1","lncRNA",NA,NA
"C4bp-ps1",12270,"complement component 4 binding protein, pseudogene 1","ENSMUSG00000100257","C4BPB","1","unprocessed_pseudogene",NA,NA
"Yod1",226418,"YOD1 OTU deubiquitinating enzyme 1 homologue (S. cerevisiae)","ENSMUSG00000046404","9930028C20Rik","1","protein_coding",NA,"YOD1"
"Fcamr",64435,"Fc receptor, IgA, IgM, high affinity, transcript variant X2","ENSMUSG00000026415",NA,"1","protein_coding","abnormal follicular dendritic cell antigen presentation","FCAMR"
"Dyrk3",226419,"dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3","ENSMUSG00000016526",NA,"1","protein_coding","abnormal erythropoiesis","DYRK3"
"Ikbke",56489,"inhibitor of kappaB kinase epsilon, transcript variant X1","ENSMUSG00000042349","IKK-i","1","protein_coding","abnormal cell physiology","IKBKE"
"Srgap2",14270,"SLIT-ROBO Rho GTPase activating protein 2","ENSMUSG00000026425","9930124L22Rik","1","protein_coding","abnormal dendrite morphology","SRGAP2C"
"Slc26a9",320718,"solute carrier family 26, member 9","ENSMUSG00000042268","anion transporter/exchanger-9","1","protein_coding","abnormal cornea morphology","SLC26A9"
"Pm20d1",212933,"peptidase M20 domain containing 1, transcript variant X1","ENSMUSG00000042251","4732466D17Rik","1","protein_coding","abnormal adaptive thermogenesis","PM20D1"
"Rab29",226422,"RAB29, member RAS oncogene family, transcript variant X1","ENSMUSG00000026433","Rab7l1","1","protein_coding",NA,"RAB29"
"Cdk18",18557,"cyclin-dependent kinase 18, transcript variant X2","ENSMUSG00000026437","Pctk3","1","protein_coding","hypoactivity","CDK18"
"Gm29695",100505034,"predicted gene, 29695, transcript variant X4","ENSMUSG00000118219",NA,"1","protein_coding",NA,NA
"Lemd1",213409,"LEM domain containing 1, transcript variant X3","ENSMUSG00000079330","4930540I23Rik","1","protein_coding",NA,"LEMD1"
